bee_id,start_time_s,stop_time_s,duration_s
10032025-1114-unmarked3-flower,641.93,642.13,0.2
10032025-1114-unmarked3-flower,645.2,647.7,2.5
10032025-1114-unmarked3-flower,649.27,649.7,0.43
10032025-1114-unmarked3-flower,650.1,651.73,1.63
10032025-1114-unmarked3-flower,652.17,652.27,0.1
10032025-1114-unmarked3-flower,679.23,679.6,0.37
10032025-1114-unmarked3-flower,701.0,701.27,0.27
10032025-1114-unmarked3-flower,875.17,875.53,0.37
10032025-1331-unmarked33-flower,713.87,714.23,0.37
10032025-1331-unmarked33-flower,727.47,728.07,0.6
10032025-1331-unmarked33-flower,745.43,745.6,0.17
10032025-1457-red31-flower,596.6,596.93,0.33
10032025-1457-red31-flower,752.2,752.4,0.2
10032025-1533-unmarked34-flower,394.07,395.1,1.03
11032025-1251-green3-flower,445.83,446.3,0.47
11032025-1251-green3-flower,462.6,464.1,1.5
11032025-1251-green3-flower,467.33,467.7,0.37
11032025-1251-green3-flower,469.47,470.47,1.0
11032025-1251-green3-flower,472.2,472.4,0.2
11032025-1251-green3-flower,473.2,473.37,0.17
11032025-1251-green3-flower,474.43,474.77,0.33
11032025-1251-green3-flower,477.5,478.33,0.83
11032025-1251-green3-flower,576.2,576.37,0.17
11032025-1251-green3-flower,582.7,582.83,0.13
11032025-1322-unmarked38-flower,683.93,684.03,0.1
11032025-1322-unmarked38-flower,727.53,727.77,0.23
12032025-0817-unmarked302-flower,779.03,779.8,0.77
12032025-0817-unmarked302-flower,816.27,816.67,0.4
12032025-0817-unmarked302-flower,817.37,817.63,0.27
12032025-0904-unmarked303-flower,510.6,510.83,0.23
12032025-0904-unmarked303-flower,531.57,531.83,0.27
12032025-0904-unmarked303-flower,617.27,617.57,0.3
12032025-0904-unmarked303-flower,662.3,662.43,0.13
20032025-0901-unmarked4-flower,212.83,213.03,0.2
20032025-0901-unmarked4-flower,219.57,219.8,0.23
20032025-0901-unmarked4-flower,233.37,233.67,0.3
20032025-0901-unmarked4-flower,243.7,243.87,0.17
20032025-0901-unmarked4-flower,246.17,246.37,0.2
20032025-0901-unmarked4-flower,246.77,246.77,0.0
20032025-0901-unmarked4-flower,247.03,247.27,0.23
20032025-0901-unmarked4-flower,247.43,247.43,0.0
20032025-0901-unmarked4-flower,253.67,253.67,0.0
20032025-0901-unmarked4-flower,253.97,253.97,0.0
20032025-0901-unmarked4-flower,261.53,261.53,0.0
20032025-0901-unmarked4-flower,261.73,261.73,0.0
20032025-0901-unmarked4-flower,266.07,266.23,0.17
20032025-0901-unmarked4-flower,271.27,271.47,0.2
20032025-0901-unmarked4-flower,274.1,274.23,0.13
20032025-0901-unmarked4-flower,276.33,276.93,0.6
20032025-0901-unmarked4-flower,277.63,277.73,0.1
20032025-0901-unmarked4-flower,278.03,278.6,0.57
20032025-0901-unmarked4-flower,278.97,279.33,0.37
20032025-0901-unmarked4-flower,290.7,291.13,0.43
20032025-0901-unmarked4-flower,298.67,299.13,0.47
20032025-0901-unmarked4-flower,299.53,299.63,0.1
20032025-0901-unmarked4-flower,300.3,300.7,0.4
20032025-0901-unmarked4-flower,304.57,305.1,0.53
20032025-0901-unmarked4-flower,328.9,329.03,0.13
