laser_key,buzz.number,wav_file,cep.fund.frequency,start_video,stop_video,is_floral_buzz,start_laser,stop_laser
_111645,27,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz27.wav,335.83,604.24751,604.32751,yes,480.49,480.57
_111645,28,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz28.wav,333.08,604.40751,604.54751,yes,480.65,480.79
_111645,29,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz29.wav,329.63,604.80751,605.10751,yes,481.05,481.35
_111645,30,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz30.wav,291.67,605.15751,605.82751,yes,481.4,482.07
_111645,31,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz31.wav,276.24,608.26751,608.40751,yes,484.51,484.65
_111645,32,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz32.wav,295.19,610.62751,611.20751,yes,486.87,487.45
_111645,33,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz33.wav,310.05,611.30751,611.75751,yes,487.55,488
_111645,40,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz40.wav,261.91,618.79751,619.11751,yes,495.04,495.36
_111645,43,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz43.wav,337.07,626.01751,626.18751,yes,502.26,502.43
_111645,44,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz44.wav,309.16,626.49751,627.23751,yes,502.74,503.48
_111645,58,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz58.wav,293.67,637.74751,638.11751,yes,513.99,514.36
_111645,67,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz67.wav,348.15,671.26751,671.35751,no,547.51,547.6
_111645,73,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz73.wav,355.79,690.43751,690.59751,no,566.68,566.84
_111645,74,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz74.wav,258.46,690.61751,690.74751,no,566.86,566.99
_111645,76,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz76.wav,269.24,701.78751,701.89751,no,578.03,578.14
_111645,80,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz80.wav,252.19,713.14751,713.28751,no,589.39,589.53
_111645,83,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz83.wav,265.32,732.4475100000001,732.8375100000001,no,608.69,609.08
_111645,84,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz84.wav,251.48,737.77751,738.18751,no,614.02,614.43
_111645,86,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz86.wav,388.88,751.90751,751.99751,no,628.15,628.24
_111645,94,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz94.wav,261.44,764.10751,764.68751,no,640.35,640.93
_111645,106,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz106.wav,278.65,782.92751,783.12751,no,659.17,659.37
_111645,117,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz117.wav,267.07,808.87751,809.0875100000001,no,685.12,685.33
_111645,120,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz120.wav,263.85,813.3375100000001,813.49751,no,689.58,689.74
_111645,122,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz122.wav,326.57,818.65751,818.79751,no,694.9,695.04
_111645,133,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz133.wav,294.74,868.26751,868.41751,no,744.51,744.66
_133455,41,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz41.wav,295.69,586.82605,586.98605,yes,379.37,379.53
_133455,42,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz42.wav,306.27,587.06605,587.80605,yes,379.61,380.35
_133455,43,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz43.wav,315.48,590.25605,590.41605,yes,382.8,382.96
_133455,44,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz44.wav,322.44,593.51605,593.7760499999999,yes,386.06,386.32
_133455,45,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz45.wav,322.61,594.5360499999999,595.30605,yes,387.08,387.85
_133455,46,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz46.wav,344.13,598.85605,599.01605,yes,391.4,391.56
_133455,47,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz47.wav,321.52,599.35605,599.5360499999999,yes,391.9,392.08
_133455,48,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz48.wav,257.31,600.65605,600.91605,yes,393.2,393.46
_133455,49,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz49.wav,330.08,605.47605,605.6260500000001,yes,398.02,398.17
_133455,50,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz50.wav,309.09,605.8660500000001,606.20605,yes,398.41,398.75
_133455,51,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz51.wav,289.15,619.0360499999999,619.3860500000001,yes,411.58,411.93
_133455,52,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz52.wav,335.83,619.48605,619.57605,yes,412.03,412.12
_133455,53,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz53.wav,315.25,624.71605,625.7860499999999,yes,417.26,418.33
_133455,54,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz54.wav,307.44,629.95605,630.30605,yes,422.5,422.85
_133455,55,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz55.wav,306.27,630.75605,631.48605,yes,423.3,424.03
_133455,56,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz56.wav,275.18,637.10605,637.83605,yes,429.65,430.38
_133455,57,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz57.wav,336.69,643.0260499999999,643.94605,yes,435.57,436.49
_133455,58,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz58.wav,304.9,648.81605,649.15605,yes,441.36,441.7
_133455,60,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz60.wav,257.79,650.3660500000001,650.49605,yes,442.91,443.04
_133455,61,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz61.wav,303.07,655.32605,655.46605,yes,447.87,448.01
_133455,62,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz62.wav,331.49,657.31605,658.46605,yes,449.86,451.01
_133455,63,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz63.wav,321.83,664.56605,665.70605,yes,457.11,458.25
_133455,64,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz64.wav,349.97,671.8760500000001,672.21605,yes,464.42,464.76
_133455,65,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz65.wav,333.65,672.6460500000001,673.01605,yes,465.19,465.56
_133455,66,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_133455\_133455_buzz66.wav,305.14,680.7760499999999,681.05605,yes,473.32,473.6
