laser_key,buzz.number,wav_file,cep.fund.frequency,start_laser,stop_laser,is_floral_buzz
_111645,27,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz27.wav,335.83,480.49,480.57,
_111645,28,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz28.wav,333.08,480.65,480.79,
_111645,29,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz29.wav,329.63,481.05,481.35,
_111645,30,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz30.wav,291.67,481.4,482.07,
_111645,31,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz31.wav,276.24,484.51,484.65,
_111645,32,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz32.wav,295.19,486.87,487.45,
_111645,33,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz33.wav,310.05,487.55,488.0,
_111645,40,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz40.wav,261.91,495.04,495.36,
_111645,43,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz43.wav,337.07,502.26,502.43,
_111645,44,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz44.wav,309.16,502.74,503.48,
_111645,58,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz58.wav,293.67,513.99,514.36,
_111645,67,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz67.wav,348.15,547.51,547.6,
_111645,73,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz73.wav,355.79,566.68,566.84,
_111645,74,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz74.wav,258.46,566.86,566.99,
_111645,76,C:\Users\labadmin\Documents\Uppsala analyses\floral_buzz_clips_from_txt\_111645\_111645_buzz76.wav,269.24,578.03,578.14,
