Seconds,CO2,O2s,H2O,FR,BP,Deg_C,Deg_C_7,Marker,CO2_ppm,BeeID,event_type,bout_index
410,0.02515572,-0.02334023,-0.05009803,399.967,99.78554,23.408,26.65,-1,251.5572,green3,buzz,0
411,0.02562437,-0.02331352,-0.05075219,399.8108,99.78241,23.409,26.648,-1,256.2437,green3,buzz,0
412,0.02598051,-0.02320671,-0.05025011,399.6389,99.78554,23.416,26.65,-1,259.8051,green3,buzz,0
411,0.02562437,-0.02331352,-0.05075219,399.8108,99.78241,23.409,26.648,-1,256.2437,green3,buzz,1
412,0.02598051,-0.02320671,-0.05025011,399.6389,99.78554,23.416,26.65,-1,259.8051,green3,buzz,1
411,0.02562437,-0.02331352,-0.05075219,399.8108,99.78241,23.409,26.648,-1,256.2437,green3,buzz,2
412,0.02598051,-0.02320671,-0.05025011,399.6389,99.78554,23.416,26.65,-1,259.8051,green3,buzz,2
413,0.0264679,-0.022789,-0.04921678,399.7639,99.78554,23.416,26.65,-1,264.679,green3,buzz,2
412,0.02598051,-0.02320671,-0.05025011,399.6389,99.78554,23.416,26.65,-1,259.8051,green3,buzz,3
413,0.0264679,-0.022789,-0.04921678,399.7639,99.78554,23.416,26.65,-1,264.679,green3,buzz,3
414,0.02709905,-0.02166939,-0.04955846,399.717,99.78554,23.416,26.65,-1,270.9905,green3,buzz,4
415,0.02792396,-0.02179718,-0.04996264,399.4202,99.77773,23.417,26.648,115,279.2396,green3,buzz,4
416,0.02899261,-0.02114487,-0.04896057,399.4983,99.78241,23.414,26.654,-1,289.92609999999996,green3,buzz,4
420,0.034011,-0.02072334,-0.04738975,400.1858,99.78397,23.413,26.652,-1,340.11,green3,buzz,5
421,0.0347359,-0.02069664,-0.04660639,400.4514,99.78241,23.416,26.65,-1,347.359,green3,buzz,5
422,0.03559205,-0.02082443,-0.04407302,400.342,99.78554,23.421,26.65,-1,355.9205,green3,buzz,5
423,0.039017,-0.02111053,-0.03582084,400.1858,99.78554,23.428,26.646,-1,390.17,green3,buzz,5
459,0.05248198,-0.05122375,0.0101608,399.3108,99.78554,23.432,26.65,-1,524.8198,green3,flight,19
460,0.05173811,-0.05213356,0.008756608,399.4358,99.78709,23.43,26.654,-1,517.3811,green3,flight,19
461,0.05126923,-0.05304337,0.008446157,399.6077,99.78554,23.425,26.644,-1,512.6923,green3,flight,19
558,0.04710848,-0.05063438,0.01320997,400.1702,99.78241,23.469,26.65,-1,471.08480000000003,green3,flight,20
559,0.04703337,-0.05060768,0.01402456,400.217,99.78554,23.458,26.646,-1,470.33369999999996,green3,flight,20
564,0.04742656,-0.05148697,0.01887876,399.9358,99.78397,23.465,26.652,-1,474.2656,green3,flight,21
565,0.04719521,-0.05146027,0.0194121,400.2014,99.78085,23.464,26.646,-1,471.95210000000003,green3,flight,21
336,0.04461314,-0.05254173,-0.04612345,398.5764,100.7902,23.88,26.802,-1,446.13140000000004,green4,buzz,22
337,0.04492562,-0.05300713,-0.04786235,398.717,100.7902,23.888,26.796,-1,449.2562,green4,buzz,22
338,0.04557558,-0.05410004,-0.04622617,398.592,100.7918,23.886,26.791,-1,455.75579999999997,green4,buzz,22
345,0.04435655,-0.05447578,-0.03886676,399.842,100.7934,23.888,26.796,-1,443.56550000000004,green4,buzz,23
346,0.0433065,-0.05220604,-0.03966811,399.8733,100.7965,23.894,26.802,-1,433.065,green4,buzz,23
346,0.0433065,-0.05220604,-0.03966811,399.8733,100.7965,23.894,26.802,-1,433.065,green4,buzz,24
347,0.04288771,-0.05040741,-0.04062572,400.092,100.7902,23.893,26.8,-1,428.87710000000004,green4,buzz,24
348,0.04348767,-0.04853058,-0.03914583,400.1858,100.7902,23.904,26.799,-1,434.87669999999997,green4,buzz,24
347,0.04288771,-0.05040741,-0.04062572,400.092,100.7902,23.893,26.8,-1,428.87710000000004,green4,buzz,25
348,0.04348767,-0.04853058,-0.03914583,400.1858,100.7902,23.904,26.799,-1,434.87669999999997,green4,buzz,25
379,0.04437401,-0.03791428,-0.01204985,399.1389,100.7871,23.906,26.802,-1,443.7401,green4,buzz,26
380,0.04451772,-0.03799057,-0.01050746,399.092,100.7887,23.905,26.807,-1,445.17719999999997,green4,buzz,26
389,0.05398003,-0.04140663,0.02931222,398.6701,100.7887,23.91,26.802,-1,539.8003,green4,buzz,27
390,0.05092994,-0.04163933,0.02116701,398.6077,100.784,23.905,26.804,-1,509.2994,green4,buzz,27
399,0.04750455,-0.04763603,0.01567352,398.717,100.7918,23.905,26.802,-1,475.0455,green4,buzz,28
400,0.04730452,-0.04896164,0.0176222,398.6077,100.7918,23.906,26.81,-1,473.0452,green4,buzz,28
401,0.04894825,-0.05044365,0.0270085,398.6077,100.784,23.91,26.796,-1,489.48249999999996,green4,buzz,28
403,0.05187946,-0.05192375,0.03028083,398.592,100.7918,23.916,26.802,-1,518.7946000000001,green4,buzz,29
404,0.05056066,-0.05293655,0.02616692,398.7483,100.7887,23.92,26.802,-1,505.6066,green4,buzz,29
403,0.05187946,-0.05192375,0.03028083,398.592,100.7918,23.916,26.802,-1,518.7946000000001,green4,buzz,30
404,0.05056066,-0.05293655,0.02616692,398.7483,100.7887,23.92,26.802,-1,505.6066,green4,buzz,30
405,0.05023562,-0.05387306,0.02495933,398.8264,100.7918,23.916,26.804,-1,502.3562,green4,buzz,30
409,0.04869169,-0.05355072,0.02537891,398.7795,100.7902,23.909,26.803,-1,486.91690000000006,green4,buzz,31
410,0.04856665,-0.05307961,0.02726507,398.7483,100.7918,23.904,26.803,-1,485.66650000000004,green4,buzz,31
413,0.05041657,-0.05190086,0.03407982,399.6545,100.7902,23.923,26.807,-1,504.1657,green4,buzz,32
414,0.049054,-0.05228996,0.03299725,399.4514,100.7902,23.922,26.804,115,490.54,green4,buzz,32
430,0.0515472,-0.06053734,0.03917569,400.2014,100.7887,23.938,26.803,-1,515.472,green4,buzz,36
431,0.05001588,-0.06201744,0.03265548,400.2483,100.7871,23.932,26.803,-1,500.1588,green4,buzz,36
434,0.05802839,-0.06537056,0.04256409,400.217,100.7902,23.927,26.804,115,580.2839,green4,buzz,37
435,0.05975962,-0.06661797,0.04482526,400.4827,100.7871,23.924,26.807,-1,597.5962,green4,buzz,37
434,0.05802839,-0.06537056,0.04256409,400.217,100.7902,23.927,26.804,115,580.2839,green4,buzz,38
435,0.05975962,-0.06661797,0.04482526,400.4827,100.7871,23.924,26.807,-1,597.5962,green4,buzz,38
436,0.05975959,-0.06755447,0.04411766,400.4358,100.7918,23.924,26.802,-1,597.5959,green4,buzz,38
435,0.05975962,-0.06661797,0.04482526,400.4827,100.7871,23.924,26.807,-1,597.5962,green4,buzz,39
436,0.05975959,-0.06755447,0.04411766,400.4358,100.7918,23.924,26.802,-1,597.5959,green4,buzz,39
435,0.05975962,-0.06661797,0.04482526,400.4827,100.7871,23.924,26.807,-1,597.5962,green4,buzz,40
436,0.05975959,-0.06755447,0.04411766,400.4358,100.7918,23.924,26.802,-1,597.5959,green4,buzz,40
436,0.05975959,-0.06755447,0.04411766,400.4358,100.7918,23.924,26.802,-1,597.5959,green4,buzz,41
437,0.06257209,-0.06794167,0.04934761,400.4202,100.7902,23.922,26.802,-1,625.7208999999999,green4,buzz,41
440,0.06462201,-0.06520081,0.05703744,400.1702,100.7824,23.938,26.804,-1,646.2200999999999,green4,buzz,42
441,0.06535323,-0.06434059,0.05914238,400.3577,100.784,23.936,26.804,-1,653.5323,green4,buzz,42
442,0.06648447,-0.06347847,0.06115353,400.1389,100.7887,23.936,26.804,-1,664.8447,green4,buzz,42
441,0.06535323,-0.06434059,0.05914238,400.3577,100.784,23.936,26.804,-1,653.5323,green4,buzz,43
442,0.06648447,-0.06347847,0.06115353,400.1389,100.7887,23.936,26.804,-1,664.8447,green4,buzz,43
441,0.06535323,-0.06434059,0.05914238,400.3577,100.784,23.936,26.804,-1,653.5323,green4,buzz,44
442,0.06648447,-0.06347847,0.06115353,400.1389,100.7887,23.936,26.804,-1,664.8447,green4,buzz,44
444,0.06857192,-0.06151962,0.06995723,400.0452,100.7887,23.928,26.804,115,685.7192,green4,buzz,45
445,0.07047191,-0.06183052,0.07903099,400.0608,100.7934,23.93,26.804,-1,704.7191,green4,buzz,45
445,0.07047191,-0.06183052,0.07903099,400.0608,100.7934,23.93,26.804,-1,704.7191,green4,buzz,46
446,0.07023437,-0.06229782,0.08072969,400.217,100.784,23.928,26.804,-1,702.3437,green4,buzz,46
448,0.0675155,-0.06455994,0.0778769,400.1858,100.7871,23.934,26.804,-1,675.1550000000001,green4,buzz,47
449,0.06689046,-0.06619644,0.07966939,400.217,100.7871,23.939,26.804,-1,668.9046,green4,buzz,47
568,0.06189211,-0.08577728,0.05724552,398.842,100.7715,24.0,26.807,-1,618.9211,green4,flight,101
569,0.06140457,-0.08569527,0.05378789,398.8264,100.7824,24.01,26.802,-1,614.0457,green4,flight,101
570,0.06307331,-0.08561516,0.05389273,398.842,100.7762,24.017,26.804,-1,630.7330999999999,green4,flight,101
605,0.06209071,-0.07850456,0.0498766,398.5764,100.7824,24.036,26.804,-1,620.9071,green4,flight,106
606,0.06264694,-0.07795715,0.05557534,398.6389,100.7793,24.04,26.807,-1,626.4694,green4,flight,106
608,0.06355938,-0.07654572,0.06019145,398.8733,100.7762,24.047,26.807,-1,635.5938,green4,flight,107
609,0.06436561,-0.0753727,0.0617339,398.9358,100.7777,24.048,26.808,-1,643.6561,green4,flight,107
614,0.05971535,-0.07262611,0.05207071,399.4983,100.7809,24.044,26.81,-1,597.1535,green4,flight,108
615,0.05948405,-0.07270241,0.04417548,399.4827,100.7871,24.042,26.807,-1,594.8405,green4,flight,108
350,0.05235519,-0.04935455,-0.0411346,400.1545,101.8324,22.468,27.25,115,523.5519,green5,buzz,109
351,0.05099891,-0.05038643,-0.04229453,399.1233,101.8324,22.467,27.246,-1,509.9891,green5,buzz,109
381,0.0534988,-0.03626442,-0.0243409,398.5295,101.8278,22.482,27.25,-1,534.9879999999999,green5,buzz,111
382,0.05306754,-0.03580856,-0.02693835,398.9826,101.8293,22.482,27.25,-1,530.6754000000001,green5,buzz,111
383,0.05271753,-0.03535271,-0.02694198,400.2014,101.8293,22.484,27.247,-1,527.1753,green5,buzz,111
388,0.04641116,-0.03917313,-0.03239778,399.7014,101.8231,22.489,27.247,115,464.1116,green5,buzz,112
389,0.04583614,-0.04106331,-0.03321388,400.5764,101.8278,22.49,27.252,-1,458.36139999999995,green5,buzz,112
390,0.04542362,-0.04279518,-0.03284252,399.967,101.8246,22.493,27.246,-1,454.2362,green5,buzz,112
490,0.06768593,-0.06994629,-0.009456068,400.342,101.8309,22.518,27.25,-1,676.8593000000001,green5,flight,121
491,0.06731717,-0.06949234,-0.007865906,399.8108,101.8293,22.516,27.244,-1,673.1717,green5,flight,121
491,0.06731717,-0.06949234,-0.007865906,399.8108,101.8293,22.516,27.244,-1,673.1717,green5,flight,122
492,0.06735466,-0.06911469,-0.007588297,398.842,101.834,22.522,27.251,-1,673.5466,green5,flight,122
493,0.06761716,-0.06881523,-0.008091956,398.6077,101.8324,22.525,27.248,-1,676.1716,green5,flight,122
494,0.06777966,-0.06867218,-0.008720607,399.5608,101.8278,22.521,27.247,-1,677.7966,green5,flight,122
494,0.06777966,-0.06867218,-0.008720607,399.5608,101.8278,22.521,27.247,-1,677.7966,green5,flight,123
495,0.0679234,-0.06829643,-0.008255452,400.3264,101.8324,22.52,27.244,-1,679.2339999999999,green5,flight,123
496,0.06722339,-0.06799889,-0.008196592,400.0764,101.8356,22.514,27.247,-1,672.2339,green5,flight,123
513,0.06929833,-0.06588745,-0.009820998,400.2796,101.8324,22.521,27.248,-1,692.9833000000001,green5,flight,125
514,0.06951708,-0.065588,-0.01010588,399.467,101.8324,22.518,27.25,-1,695.1708,green5,flight,125
524,0.06907327,-0.06549072,-0.0149861,400.6389,101.8324,22.535,27.256,-1,690.7327,green5,flight,126
525,0.06904201,-0.06589508,-0.01473975,399.8577,101.8293,22.536,27.25,-1,690.4201,green5,flight,126
528,0.06839823,-0.06546783,-0.01531318,399.467,101.8231,22.534,27.25,-1,683.9823,green5,flight,127
529,0.06829822,-0.06579399,-0.01609805,400.3108,101.8293,22.534,27.251,-1,682.9822,green5,flight,127
