Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
10032025-1114-unmarked3-flower,30:45.5,,Media file,player #1:E:/Natacha/bonsai_Natacha/Videos/10032025-1114-unmarked3-flower.avi,0,707.1,1180.3,30,No focal subject,0,r,Not defined,POINT,168.433,168.433,NA,E:/Natacha/bonsai_Natacha/Videos/10032025-1114-unmarked3-flower.avi,5053,5053,,,,
10032025-1331-unmarked33-flower,42:36.5,,Media file,player #1:E:/Natacha/bonsai_Natacha/Videos/10032025-1331-unmarked33-flower.avi,0,517.867,1171.933,30,No focal subject,0,r,Not defined,POINT,227.733,227.733,NA,E:/Natacha/bonsai_Natacha/Videos/10032025-1331-unmarked33-flower.avi,6832,6832,,,,
10032025-1457-red31-flower,35:05.0,,Media file,player #1:E:/Natacha/bonsai_Natacha/Videos/10032025-1457-red31-flower.avi,0,731.533,1049.533,30,No focal subject,0,r,Not defined,POINT,20.867,20.867,NA,E:/Natacha/bonsai_Natacha/Videos/10032025-1457-red31-flower.avi,626,626,,,,
10032025-1533-unmarked34-flower,45:02.2,,Media file,player #1:E:/Natacha/bonsai_Natacha/Videos/10032025-1533-unmarked34-flower.avi,0,367.9,904.467,30,No focal subject,0,r,Not defined,POINT,27.2,27.2,NA,E:/Natacha/bonsai_Natacha/Videos/10032025-1533-unmarked34-flower.avi,816,816,,,,
11032025-1251-green3-flower,51:40.9,,Media file,player #1:E:/Natacha/bonsai_Natacha/Videos/11032025-1251-green3-flower.avi,0,552,1009.333,30,No focal subject,0,r,Not defined,POINT,30.833,30.833,NA,E:/Natacha/bonsai_Natacha/Videos/11032025-1251-green3-flower.avi,925,925,,,,
11032025-1322-unmarked38-flower,02:27.6,,Media file,player #1:E:/Natacha/bonsai_Natacha/Videos/11032025-1322-unmarked38-flower.avi,0,686.767,1031.1,30,No focal subject,0,r,Not defined,POINT,41,41,NA,E:/Natacha/bonsai_Natacha/Videos/11032025-1322-unmarked38-flower.avi,1230,1230,,,,
12032025-0817-unmarked302-flower,09:35.1,,Media file,player #1:E:/Natacha/bonsai_Natacha/Videos/12032025-0817-unmarked302-flower.avi,0,571.1,1257.4,30,No focal subject,0,r,Not defined,POINT,246.533,246.533,NA,E:/Natacha/bonsai_Natacha/Videos/12032025-0817-unmarked302-flower.avi,7396,7396,,,,
12032025-0904-unmarked303-flower,20:12.9,,Media file,player #1:E:/Natacha/bonsai_Natacha/Videos/12032025-0904-unmarked303-flower.avi,0,632.333,978.667,30,No focal subject,0,r,Not defined,POINT,30.1,30.1,NA,E:/Natacha/bonsai_Natacha/Videos/12032025-0904-unmarked303-flower.avi,903,903,,,,
20032025-0901-unmarked4-flower,34:33.2,,Media file,player #1:E:/Natacha/bonsai_Natacha/Videos/20032025-0901-unmarked4-flower.avi,0,672.8,961.733,30,No focal subject,0,r,Not defined,POINT,36.667,36.667,NA,E:/Natacha/bonsai_Natacha/Videos/20032025-0901-unmarked4-flower.avi,1100,1100,,,,
20032025-0938-unmarked40-flower,53:22.0,,Media file,player #1:E:/Natacha/bonsai_Natacha/Videos/20032025-0938-unmarked40-flower.avi,0,588.133,929.333,30,No focal subject,0,r,Not defined,POINT,24.667,24.667,NA,E:/Natacha/bonsai_Natacha/Videos/20032025-0938-unmarked40-flower.avi,740,740,,,,
